Customer_Name,Province,Region,Customer_Segment,Cust_id,id,id
SKYE NORLING,NUNAVUT,NUNAVUT,HOME OFFICE,Cust_33,33,33
BARRY WEIRICH,NUNAVUT,NUNAVUT,CORPORATE,Cust_34,34,34
GRANT CARROLL,NUNAVUT,NUNAVUT,CORPORATE,Cust_35,35,35
ADRIAN HANE,NUNAVUT,NUNAVUT,CORPORATE,Cust_36,36,36
ANDREW GJERTSEN,NUNAVUT,NUNAVUT,CONSUMER,Cust_37,37,37
RALPH KNIGHT,NUNAVUT,NUNAVUT,CONSUMER,Cust_38,38,38
BETH PAIGE,NUNAVUT,NUNAVUT,CONSUMER,Cust_39,39,39
SYLVIA FOULSTON,NUNAVUT,NUNAVUT,CORPORATE,Cust_40,40,40
BETH PAIGE,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CONSUMER,Cust_41,41,41
SYLVIA FOULSTON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_42,42,42
BRYAN DAVIS,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_43,43,43
JOY BELL,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,Cust_44,44,44
ALAN BARNES,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_45,45,45
GRANT CARROLL,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_46,46,46
DELFINA LATCHFORD,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,SMALL BUSINESS,Cust_47,47,47
DON JONES,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_48,48,48
DOUG BICKFORD,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_49,49,49
JAMIE KUNITZ,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_50,50,50
ANTHONY JOHNSON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,SMALL BUSINESS,Cust_51,51,51
RALPH KNIGHT,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CONSUMER,Cust_52,52,52
ALLEN ROSENBLATT,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,SMALL BUSINESS,Cust_53,53,53
BARRY WEIRICH,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_54,54,54
CARL JACKSON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,Cust_55,55,55
BRENDAN DODSON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_56,56,56
EDWARD HOOKS,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CONSUMER,Cust_57,57,57
MICHELLE LONSDALE,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,Cust_58,58,58
HUNTER GLANTZ,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_59,59,59
EUGENE BARCHAS,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,Cust_60,60,60
JIM RADFORD,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_61,61,61
CARLOS SOLTERO,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,SMALL BUSINESS,Cust_62,62,62
GRANT CARROLL,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,SMALL BUSINESS,Cust_63,63,63
SKYE NORLING,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,Cust_64,64,64
MUHAMMED MACINTYRE,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,SMALL BUSINESS,Cust_65,65,65
DOUG BICKFORD,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,SMALL BUSINESS,Cust_66,66,66
BETH THOMPSON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_67,67,67
DOROTHY BADDERS,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,Cust_68,68,68
JULIA WEST,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_69,69,69
BRAD EASON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,SMALL BUSINESS,Cust_70,70,70
THOMAS SEIO,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,Cust_71,71,71
MONICA FEDERLE,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_72,72,72
FRANK PRICE,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_73,73,73
NICOLE HANSEN,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_74,74,74
NICOLE HANSEN,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,SMALL BUSINESS,Cust_75,75,75
CARLOS SOLTERO,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CONSUMER,Cust_76,76,76
DON MILLER,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,Cust_77,77,77
BECKY CASTELL,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CONSUMER,Cust_78,78,78
DOROTHY WARDLE,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_79,79,79
ANN CHONG,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_80,80,80
CLAY ROZENDAL,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_81,81,81
CARLOS DALY,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,Cust_82,82,82
CARI SCHNELLING,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,Cust_83,83,83
CHAD CUNNINGHAM,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,SMALL BUSINESS,Cust_84,84,84
BRYAN MILLS,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,SMALL BUSINESS,Cust_85,85,85
ADRIAN HANE,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_86,86,86
RICK REED,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CONSUMER,Cust_87,87,87
HEATHER KIRKLAND,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,Cust_88,88,88
FRED WASSERMAN,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,Cust_89,89,89
CLAUDIA MINER,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,SMALL BUSINESS,Cust_90,90,90
JACK LEBRON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_91,91,91
JULIA WEST,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,Cust_92,92,92
EUGENE BARCHAS,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_93,93,93
CARL LUDWIG,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_94,94,94
JULIA WEST,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,SMALL BUSINESS,Cust_95,95,95
MIKE PELLETIER,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_96,96,96
CHARLES MCCROSSIN,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_97,97,97
ANNIE CYPRUS,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,Cust_98,98,98
MICHELLE LONSDALE,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_99,99,99
CHARLOTTE MELTON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,Cust_100,100,100
BARRY FRENCH,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CONSUMER,Cust_101,101,101
HENRY GOLDWYN,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,SMALL BUSINESS,Cust_102,102,102
ROY SKARIA,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_103,103,103
JEREMY LONSDALE,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_104,104,104
CARLOS DALY,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_105,105,105
CINDY SCHNELLING,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_106,106,106
SUSAN VITTORINI,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_107,107,107
TOBY BRAUNHARDT,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_108,108,108
JULIA WEST,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CONSUMER,Cust_109,109,109
SUSAN VITTORINI,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,Cust_110,110,110
MIKE PELLETIER,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,SMALL BUSINESS,Cust_111,111,111
NEOLA SCHNEIDER,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,Cust_112,112,112
CARI SCHNELLING,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,SMALL BUSINESS,Cust_113,113,113
ANDREW GJERTSEN,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CONSUMER,Cust_114,114,114
RALPH ARNETT,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CONSUMER,Cust_115,115,115
BRYAN MILLS,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_116,116,116
GRANT CARROLL,PRINCE EDWARD ISLAND,ATLANTIC,SMALL BUSINESS,Cust_117,117,117
JULIA WEST,PRINCE EDWARD ISLAND,ATLANTIC,CONSUMER,Cust_118,118,118
MUHAMMED MACINTYRE,PRINCE EDWARD ISLAND,ATLANTIC,SMALL BUSINESS,Cust_119,119,119
SUSAN VITTORINI,PRINCE EDWARD ISLAND,ATLANTIC,CORPORATE,Cust_120,120,120
SYLVIA FOULSTON,PRINCE EDWARD ISLAND,ATLANTIC,CORPORATE,Cust_121,121,121
DOUG BICKFORD,PRINCE EDWARD ISLAND,ATLANTIC,CORPORATE,Cust_122,122,122
DOROTHY BADDERS,PRINCE EDWARD ISLAND,ATLANTIC,HOME OFFICE,Cust_123,123,123
HENRY GOLDWYN,PRINCE EDWARD ISLAND,ATLANTIC,SMALL BUSINESS,Cust_124,124,124
CHAD CUNNINGHAM,PRINCE EDWARD ISLAND,ATLANTIC,SMALL BUSINESS,Cust_125,125,125
BETH THOMPSON,PRINCE EDWARD ISLAND,ATLANTIC,CORPORATE,Cust_126,126,126
ANDREW GJERTSEN,PRINCE EDWARD ISLAND,ATLANTIC,CONSUMER,Cust_127,127,127
MICHELLE LONSDALE,PRINCE EDWARD ISLAND,ATLANTIC,CORPORATE,Cust_128,128,128
CARI SCHNELLING,PRINCE EDWARD ISLAND,ATLANTIC,SMALL BUSINESS,Cust_129,129,129
EDWARD HOOKS,PRINCE EDWARD ISLAND,ATLANTIC,CONSUMER,Cust_130,130,130
BRENDAN DODSON,PRINCE EDWARD ISLAND,ATLANTIC,CORPORATE,Cust_131,131,131
HAROLD ENGLE,PRINCE EDWARD ISLAND,ATLANTIC,CONSUMER,Cust_132,132,132
ROY FRENCH,PRINCE EDWARD ISLAND,ATLANTIC,CONSUMER,Cust_133,133,133
HELEN ABELMAN,PRINCE EDWARD ISLAND,ATLANTIC,HOME OFFICE,Cust_134,134,134
GUY ARMSTRONG,PRINCE EDWARD ISLAND,ATLANTIC,CORPORATE,Cust_135,135,135
JENNIFER BRAXTON,PRINCE EDWARD ISLAND,ATLANTIC,SMALL BUSINESS,Cust_136,136,136
GIULIETTA BAPTIST,PRINCE EDWARD ISLAND,ATLANTIC,HOME OFFICE,Cust_137,137,137
JACK LEBRON,PRINCE EDWARD ISLAND,ATLANTIC,CORPORATE,Cust_138,138,138
ERICA BERN,PRINCE EDWARD ISLAND,ATLANTIC,CORPORATE,Cust_139,139,139
CHRISTOPHER SCHILD,PRINCE EDWARD ISLAND,ATLANTIC,CORPORATE,Cust_140,140,140
JOY SMITH,PRINCE EDWARD ISLAND,ATLANTIC,CORPORATE,Cust_141,141,141
EVAN MINNOTTE,PRINCE EDWARD ISLAND,ATLANTIC,CORPORATE,Cust_142,142,142
JENNA CAFFEY,PRINCE EDWARD ISLAND,ATLANTIC,CONSUMER,Cust_143,143,143
HAROLD ENGLE,PRINCE EDWARD ISLAND,ATLANTIC,HOME OFFICE,Cust_144,144,144
HILARY HOLDEN,PRINCE EDWARD ISLAND,ATLANTIC,CORPORATE,Cust_145,145,145
GREG GUTHRIE,PRINCE EDWARD ISLAND,ATLANTIC,CORPORATE,Cust_146,146,146
JOY SMITH,PRINCE EDWARD ISLAND,ATLANTIC,CONSUMER,Cust_147,147,147
DAN REICHENBACH,PRINCE EDWARD ISLAND,ATLANTIC,CORPORATE,Cust_148,148,148
PAUL GONZALEZ,PRINCE EDWARD ISLAND,ATLANTIC,CORPORATE,Cust_149,149,149
FILIA MCADAMS,PRINCE EDWARD ISLAND,ATLANTIC,SMALL BUSINESS,Cust_150,150,150
GREG GUTHRIE,PRINCE EDWARD ISLAND,ATLANTIC,SMALL BUSINESS,Cust_151,151,151
CHUCK MAGEE,PRINCE EDWARD ISLAND,ATLANTIC,CORPORATE,Cust_152,152,152
FRANK ATKINSON,PRINCE EDWARD ISLAND,ATLANTIC,CORPORATE,Cust_153,153,153
CARLOS SOLTERO,PRINCE EDWARD ISLAND,ATLANTIC,CONSUMER,Cust_154,154,154
PHILIP BROWN,PRINCE EDWARD ISLAND,ATLANTIC,HOME OFFICE,Cust_155,155,155
ERICA BERN,PRINCE EDWARD ISLAND,ATLANTIC,SMALL BUSINESS,Cust_156,156,156
CARLOS SOLTERO,PRINCE EDWARD ISLAND,ATLANTIC,SMALL BUSINESS,Cust_157,157,157
JIM SINK,PRINCE EDWARD ISLAND,ATLANTIC,CORPORATE,Cust_158,158,158
PHILIP BROWN,PRINCE EDWARD ISLAND,ATLANTIC,CORPORATE,Cust_159,159,159
LOGAN HAUSHALTER,PRINCE EDWARD ISLAND,ATLANTIC,CORPORATE,Cust_160,160,160
NOAH CHILDS,PRINCE EDWARD ISLAND,ATLANTIC,HOME OFFICE,Cust_161,161,161
NOAH CHILDS,MANITOBA,PRARIE,HOME OFFICE,Cust_162,162,162
EVAN MINNOTTE,MANITOBA,PRARIE,CORPORATE,Cust_163,163,163
GUY ARMSTRONG,MANITOBA,PRARIE,CORPORATE,Cust_164,164,164
CHUCK MAGEE,MANITOBA,PRARIE,CORPORATE,Cust_165,165,165
GREG GUTHRIE,MANITOBA,PRARIE,SMALL BUSINESS,Cust_166,166,166
CARLOS SOLTERO,MANITOBA,PRARIE,SMALL BUSINESS,Cust_167,167,167
GREG GUTHRIE,MANITOBA,PRARIE,CORPORATE,Cust_168,168,168
CARLOS SOLTERO,MANITOBA,PRARIE,CONSUMER,Cust_169,169,169
CHRISTOPHER SCHILD,MANITOBA,PRARIE,CORPORATE,Cust_170,170,170
JOY SMITH,MANITOBA,PRARIE,CORPORATE,Cust_171,171,171
JOY SMITH,MANITOBA,PRARIE,CONSUMER,Cust_172,172,172
BRIAN MOSS,MANITOBA,PRARIE,CORPORATE,Cust_173,173,173
LOGAN HAUSHALTER,MANITOBA,PRARIE,CORPORATE,Cust_174,174,174
JIM SINK,MANITOBA,PRARIE,CORPORATE,Cust_175,175,175
JENNIFER BRAXTON,MANITOBA,PRARIE,SMALL BUSINESS,Cust_176,176,176
HAROLD ENGLE,MANITOBA,PRARIE,HOME OFFICE,Cust_177,177,177
HILARY HOLDEN,MANITOBA,PRARIE,CORPORATE,Cust_178,178,178
ERICA BERN,MANITOBA,PRARIE,CORPORATE,Cust_179,179,179
HAROLD ENGLE,MANITOBA,PRARIE,CONSUMER,Cust_180,180,180
HELEN ABELMAN,MANITOBA,PRARIE,HOME OFFICE,Cust_181,181,181
JACK LEBRON,BRITISH COLUMBIA,WEST,CORPORATE,Cust_182,182,182
GIULIETTA BAPTIST,BRITISH COLUMBIA,WEST,HOME OFFICE,Cust_183,183,183
JIM SINK,BRITISH COLUMBIA,WEST,CORPORATE,Cust_184,184,184
JULIE CREIGHTON,BRITISH COLUMBIA,WEST,CORPORATE,Cust_185,185,185
SANJIT CHAND,BRITISH COLUMBIA,WEST,HOME OFFICE,Cust_186,186,186
MATT COLLINS,BRITISH COLUMBIA,WEST,CONSUMER,Cust_187,187,187
JUSTIN KNIGHT,BRITISH COLUMBIA,WEST,CORPORATE,Cust_188,188,188
ROB HABERLIN,BRITISH COLUMBIA,WEST,CORPORATE,Cust_189,189,189
ROB HABERLIN,BRITISH COLUMBIA,WEST,CONSUMER,Cust_190,190,190
CHRISTINA VANDERZANDEN,BRITISH COLUMBIA,WEST,SMALL BUSINESS,Cust_191,191,191
LENA CACIOPPO,BRITISH COLUMBIA,WEST,HOME OFFICE,Cust_192,192,192
KIMBERLY CARTER,BRITISH COLUMBIA,WEST,HOME OFFICE,Cust_193,193,193
GENE HALE,BRITISH COLUMBIA,WEST,CONSUMER,Cust_194,194,194
SALLY KNUTSON,BRITISH COLUMBIA,WEST,CONSUMER,Cust_195,195,195
MARINA LICHTENSTEIN,BRITISH COLUMBIA,WEST,CORPORATE,Cust_196,196,196
MICHELLE ARNETT,BRITISH COLUMBIA,WEST,HOME OFFICE,Cust_197,197,197
SETH VERNON,BRITISH COLUMBIA,WEST,HOME OFFICE,Cust_198,198,198
LUKE WEISS,BRITISH COLUMBIA,WEST,CORPORATE,Cust_199,199,199
ANTHONY JOHNSON,BRITISH COLUMBIA,WEST,SMALL BUSINESS,Cust_200,200,200
KIMBERLY CARTER,BRITISH COLUMBIA,WEST,SMALL BUSINESS,Cust_201,201,201
SALLY KNUTSON,BRITISH COLUMBIA,WEST,CORPORATE,Cust_202,202,202
CHRISTINA DEMOSS,BRITISH COLUMBIA,WEST,HOME OFFICE,Cust_203,203,203
MONICA FEDERLE,BRITISH COLUMBIA,WEST,CORPORATE,Cust_204,204,204
JOY SMITH,BRITISH COLUMBIA,WEST,CONSUMER,Cust_205,205,205
SONIA SUNLEY,BRITISH COLUMBIA,WEST,SMALL BUSINESS,Cust_206,206,206
ANTHONY O'DONNELL,BRITISH COLUMBIA,WEST,CONSUMER,Cust_207,207,207
EMILY GRADY,BRITISH COLUMBIA,WEST,HOME OFFICE,Cust_208,208,208
ALEX AVILA,BRITISH COLUMBIA,WEST,HOME OFFICE,Cust_209,209,209
BRIAN MOSS,BRITISH COLUMBIA,WEST,CORPORATE,Cust_210,210,210
ANNA ANDREADI,BRITISH COLUMBIA,WEST,SMALL BUSINESS,Cust_211,211,211
BARBARA FISHER,BRITISH COLUMBIA,WEST,SMALL BUSINESS,Cust_212,212,212
KELLY WILLIAMS,BRITISH COLUMBIA,WEST,CORPORATE,Cust_213,213,213
SONIA SUNLEY,BRITISH COLUMBIA,WEST,CORPORATE,Cust_214,214,214
JOCASTA RUPERT,BRITISH COLUMBIA,WEST,CONSUMER,Cust_215,215,215
RICK DUSTON,BRITISH COLUMBIA,WEST,CORPORATE,Cust_216,216,216
ANGELE HOOD,BRITISH COLUMBIA,WEST,CONSUMER,Cust_217,217,217
DENNIS BOLTON,BRITISH COLUMBIA,WEST,CONSUMER,Cust_218,218,218
STEWART CARMICHAEL,BRITISH COLUMBIA,WEST,CORPORATE,Cust_219,219,219
ALEX AVILA,BRITISH COLUMBIA,WEST,CORPORATE,Cust_220,220,220
SARAH FOSTER,BRITISH COLUMBIA,WEST,CORPORATE,Cust_221,221,221
JIM KARLSSON,BRITISH COLUMBIA,WEST,SMALL BUSINESS,Cust_222,222,222
LISA DECHERNEY,BRITISH COLUMBIA,WEST,CORPORATE,Cust_223,223,223
ROY SKARIA,BRITISH COLUMBIA,WEST,CORPORATE,Cust_224,224,224
DENNIS BOLTON,BRITISH COLUMBIA,WEST,SMALL BUSINESS,Cust_225,225,225
PETER BUHLER,BRITISH COLUMBIA,WEST,CONSUMER,Cust_226,226,226
ANTHONY O'DONNELL,BRITISH COLUMBIA,WEST,CORPORATE,Cust_227,227,227
DANIEL LACY,BRITISH COLUMBIA,WEST,SMALL BUSINESS,Cust_228,228,228
GIULIETTA WEIMER,BRITISH COLUMBIA,WEST,CORPORATE,Cust_229,229,229
MIKE VITTORINI,BRITISH COLUMBIA,WEST,SMALL BUSINESS,Cust_230,230,230
LELA DONOVAN,BRITISH COLUMBIA,WEST,CORPORATE,Cust_231,231,231
SHAHID SHARIARI,BRITISH COLUMBIA,WEST,CORPORATE,Cust_232,232,232
TRUDY SCHMIDT,BRITISH COLUMBIA,WEST,SMALL BUSINESS,Cust_233,233,233
CHRISTOPHER MARTINEZ,BRITISH COLUMBIA,WEST,SMALL BUSINESS,Cust_234,234,234
MARC HARRIGAN,BRITISH COLUMBIA,WEST,HOME OFFICE,Cust_235,235,235
LIZ PRICE,BRITISH COLUMBIA,WEST,CONSUMER,Cust_236,236,236
RALPH KENNEDY,BRITISH COLUMBIA,WEST,CORPORATE,Cust_237,237,237
ROB DOWD,BRITISH COLUMBIA,WEST,CORPORATE,Cust_238,238,238
KHLOE MILLER,BRITISH COLUMBIA,WEST,HOME OFFICE,Cust_239,239,239
SHAHID HOPKINS,BRITISH COLUMBIA,WEST,SMALL BUSINESS,Cust_240,240,240
KRISTINA NUNN,BRITISH COLUMBIA,WEST,CONSUMER,Cust_241,241,241
RICARDO EMERSON,BRITISH COLUMBIA,WEST,CORPORATE,Cust_242,242,242
PATRICK O'BRILL,BRITISH COLUMBIA,WEST,HOME OFFICE,Cust_243,243,243
THOMAS BRUMLEY,BRITISH COLUMBIA,WEST,CONSUMER,Cust_244,244,244
VICKY FREYMANN,BRITISH COLUMBIA,WEST,HOME OFFICE,Cust_245,245,245
KHLOE MILLER,BRITISH COLUMBIA,WEST,CORPORATE,Cust_246,246,246
TONY CHAPMAN,BRITISH COLUMBIA,WEST,CONSUMER,Cust_247,247,247
LIZ PRICE,BRITISH COLUMBIA,WEST,CORPORATE,Cust_248,248,248
SARAH BERN,BRITISH COLUMBIA,WEST,CORPORATE,Cust_249,249,249
MARK COUSINS,BRITISH COLUMBIA,WEST,HOME OFFICE,Cust_250,250,250
MARK COUSINS,BRITISH COLUMBIA,WEST,CORPORATE,Cust_251,251,251
DANIEL BYRD,BRITISH COLUMBIA,WEST,HOME OFFICE,Cust_252,252,252
JOHN MURRAY,BRITISH COLUMBIA,WEST,SMALL BUSINESS,Cust_253,253,253
LENA HERNANDEZ,BRITISH COLUMBIA,WEST,HOME OFFICE,Cust_254,254,254
GREG MAXWELL,BRITISH COLUMBIA,WEST,HOME OFFICE,Cust_255,255,255
GIULIETTA WEIMER,BRITISH COLUMBIA,WEST,HOME OFFICE,Cust_256,256,256
JUSTIN HIRSH,BRITISH COLUMBIA,WEST,CONSUMER,Cust_257,257,257
SHAHID SHARIARI,BRITISH COLUMBIA,WEST,CONSUMER,Cust_258,258,258
SALLY KNUTSON,BRITISH COLUMBIA,WEST,SMALL BUSINESS,Cust_259,259,259
SALLY KNUTSON,BRITISH COLUMBIA,WEST,HOME OFFICE,Cust_260,260,260
HEATHER JAS,BRITISH COLUMBIA,WEST,CORPORATE,Cust_261,261,261
PHILISSE OVERCASH,BRITISH COLUMBIA,WEST,SMALL BUSINESS,Cust_262,262,262
NEIL KNUDSON,BRITISH COLUMBIA,WEST,HOME OFFICE,Cust_263,263,263
CATHY ARMSTRONG,BRITISH COLUMBIA,WEST,CONSUMER,Cust_264,264,264
NEIL KNUDSON,BRITISH COLUMBIA,WEST,CORPORATE,Cust_265,265,265
CHUCK CLARK,BRITISH COLUMBIA,WEST,CORPORATE,Cust_266,266,266
KHLOE MILLER,BRITISH COLUMBIA,WEST,CONSUMER,Cust_267,267,267
BILL EPLETT,BRITISH COLUMBIA,WEST,CORPORATE,Cust_268,268,268
JOHN GRADY,BRITISH COLUMBIA,WEST,CORPORATE,Cust_269,269,269
KHLOE MILLER,NOVA SCOTIA,ATLANTIC,HOME OFFICE,Cust_270,270,270
TONY CHAPMAN,NOVA SCOTIA,ATLANTIC,CONSUMER,Cust_271,271,271
RALPH KENNEDY,NOVA SCOTIA,ATLANTIC,CORPORATE,Cust_272,272,272
TRUDY SCHMIDT,NOVA SCOTIA,ATLANTIC,SMALL BUSINESS,Cust_273,273,273
GENE HALE,NOVA SCOTIA,ATLANTIC,CONSUMER,Cust_274,274,274
SARAH BERN,NOVA SCOTIA,ATLANTIC,CORPORATE,Cust_275,275,275
JUSTIN HIRSH,NOVA SCOTIA,ATLANTIC,CONSUMER,Cust_276,276,276
LIZ PRICE,NOVA SCOTIA,ATLANTIC,CONSUMER,Cust_277,277,277
